months since December 1979,North Spit,Crescent City
354,0.041083333,-0.0445
355,0.038083333,-0.048333333
356,0.036083333,-0.050416667
357,0.035583333,-0.051166667
358,0.043,-0.04375
359,0.043666667,-0.043833333
360,0.052,-0.036333333
361,0.0785,-0.008833333
362,0.086333333,-0.000333333
363,0.093916667,0.005583333
364,0.11,0.019833333
365,0.108333333,0.014916667
366,0.1005,0.004416667
367,0.100666667,0.00125
368,0.099,-0.00325
369,0.096583333,-0.008916667
370,0.094583333,-0.013583333
371,0.0945,-0.016416667
372,0.099666667,-0.011333333
373,0.080583333,-0.034833333
374,0.066,-0.053583333
375,0.071833333,-0.046916667
376,0.064583333,-0.054833333
377,0.069583333,-0.050333333
378,0.074083333,-0.045666667
379,0.076833333,-0.042583333
380,0.076916667,-0.041583333
381,0.078166667,-0.04
382,0.078083333,-0.040083333
383,0.079083333,-0.0395
384,0.059916667,-0.062666667
385,0.05975,-0.061916667
386,0.05675,-0.06525
387,0.051833333,-0.07225
388,0.059,-0.063333333
389,0.055416667,-0.06775
390,0.0545,-0.07
391,0.053333333,-0.07125
392,0.056333333,-0.06925
393,0.058333333,-0.06725
394,0.062416667,-0.06325
395,0.07025,-0.054333333
396,0.08875,-0.033166667
397,0.085416667,-0.038
398,0.08,-0.045666667
399,0.069166667,-0.059083333
400,0.057416667,-0.073583333
401,0.057583333,-0.074
402,0.058083333,-0.073666667
403,0.060333333,-0.072083333
404,0.06175,-0.072583333
405,0.065666667,-0.069666667
406,0.062833333,-0.074666667
407,0.0565,-0.085
408,0.0405,-0.105583333
409,0.046583333,-0.10125
410,0.060416667,-0.085666667
411,0.072333333,-0.073583333
412,0.084,-0.063166667
413,0.092,-0.055833333
414,0.09525,-0.054333333
415,0.100833333,-0.050166667
416,0.104083333,-0.047
417,0.111166667,-0.041
418,0.1235,-0.027333333
419,0.130833333,-0.018416667
420,0.156416667,0.008416667
421,0.162333333,0.014
422,0.170083333,0.0205
423,0.168333333,0.01675
424,0.165,0.01225
425,0.166166667,0.012083333
426,0.171083333,0.017416667
427,0.175666667,0.020916667
428,0.17975,0.023833333
429,0.179333333,0.02375
430,0.179333333,0.02225
431,0.176416667,0.017333333
432,0.171166667,0.013083333
433,0.1815,0.026416667
434,0.176916667,0.022666667
435,0.187,0.0355
436,0.1865,0.036
437,0.183416667,0.033416667
438,0.17725,0.027333333
439,0.165416667,0.016166667
440,0.161166667,0.012333333
441,0.151416667,0.002
442,0.148416667,0.00075
443,0.156416667,0.011333333
444,0.145583333,-0.002166667
445,0.144083333,-0.004583333
446,0.158333333,0.010166667
447,0.153333333,0.00325
448,0.15975,0.01025
449,0.159666667,0.008833333
450,0.163166667,0.010916667
451,0.165416667,0.012666667
452,0.1685,0.014666667
453,0.174083333,0.019166667
454,0.164166667,0.005583333
455,0.160416667,-8.33E-05
456,0.156916667,-0.004
457,0.148666667,-0.013666667
458,0.12425,-0.04225
459,0.125416667,-0.041666667
460,0.121916667,-0.046083333
461,0.12375,-0.043833333
462,0.121083333,-0.046333333
463,0.123,-0.0445
464,0.120083333,-0.046666667
465,0.117666667,-0.048416667
466,0.126583333,-0.038916667
467,0.123916667,-0.042666667
468,0.13175,-0.03375
469,0.138833333,-0.027
470,0.158833333,-0.006083333
471,0.161583333,-0.0055
472,0.163833333,-0.00375
473,0.16925,0.00175
474,0.169666667,0.0015
475,0.16725,-0.0015
476,0.165666667,-0.004166667
477,0.167916667,-0.002916667
478,0.161416667,-0.01025
479,0.162916667,-0.009166667
480,0.170333333,-0.0025
481,0.16275,-0.01
482,0.14375,-0.030916667
483,0.136666667,-0.03825
484,0.133416667,-0.042333333
485,0.13175,-0.04375
486,0.13275,-0.042583333
487,0.135416667,-0.040416667
488,0.137416667,-0.038666667
489,0.139916667,-0.036833333
490,0.1425,-0.034583333
491,0.134666667,-0.04225
492,0.119416667,-0.058
493,0.1205,-0.058
494,0.121333333,-0.055666667
495,0.11375,-0.062833333
496,0.111083333,-0.066
497,0.102833333,-0.07575
498,0.106083333,-0.072416667
499,0.107,-0.071166667
500,0.108583333,-0.0705
501,0.10375,-0.074583333
502,0.105916667,-0.0715
503,0.1105,-0.06675
504,0.122,-0.05575
505,0.120166667,-0.058583333
506,0.117166667,-0.063166667
507,0.117916667,-0.0635
508,0.116166667,-0.065333333
509,0.116583333,-0.064583333
510,0.116916667,-0.065166667
511,0.11725,-0.065416667
